,Coefficients
amenities_count,152.1317781480085
accommodates,51.19467269069409
host_is_superhost,42.74704516001207
instant_bookable,28.115754019451757
availability_60,17.356671808888674
Pets live on this property,-28.47912644392241
Washer,-27.236083447484564
Free Parking on Premises,-24.365379395746785
availability_30,-23.187009421775407
Pool,-22.808161694596528
