,Cat(s),Hair Dryer,Smoke Detector,Wireless Internet,Other pet(s),Dog(s),Smoking Allowed,Heating,24-Hour Check-in,Family/Kid Friendly,Safety Card,Internet,Gym,Breakfast,Indoor Fireplace,Fire Extinguisher,Wheelchair Accessible,Iron,Pool,First Aid Kit,Laptop Friendly Workspace,Doorman,Carbon Monoxide Detector,Shampoo,Dryer,Buzzer/Wireless Intercom,Free Parking on Premises,Hangers,Suitable for Events,Pets Allowed,Washer / Dryer,Hot Tub,Pets live on this property,Kitchen,Elevator in Building,TV,Lock on Bedroom Door,Essentials,Air Conditioning,Washer,Cable TV,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,square_feet,price,weekly_price,monthly_price,security_deposit,guests_included,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month
13,False,False,True,True,False,False,False,True,False,True,True,True,False,False,False,True,False,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,1.0,1.0,0.0,1.0,1.0,5,1.0,2.0,3.0,854.6185567010309,165.0,788.4818317570931,5000.0,400.0,4,2,1125,13,40,63,337,3,100.0,10.0,10.0,9.0,9.0,10.0,10.0,1,3.0
14,False,False,True,True,False,False,False,True,False,True,True,True,False,False,True,True,False,False,False,True,False,False,True,True,True,False,True,False,True,False,False,False,False,True,False,True,False,True,False,True,True,1.0,1.0,0.0,1.0,1.0,16,3.5,6.0,15.0,854.6185567010309,461.0,788.4818317570931,2613.336189848385,1500.0,8,3,29,19,40,65,327,18,98.0,9.0,10.0,10.0,10.0,10.0,10.0,1,2.65
15,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,True,1.0,1.0,0.0,1.0,1.0,5,1.0,2.0,2.0,854.6185567010309,109.0,788.4818317570931,2613.336189848385,287.61039657020365,1,3,15,30,60,69,69,1,80.0,8.0,10.0,8.0,8.0,8.0,8.0,1,0.73
16,True,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,True,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,1.0,1.0,0.0,1.0,1.0,2,1.0,1.0,1.0,854.6185567010309,66.0,788.4818317570931,2613.336189848385,100.0,1,1,10,29,59,89,364,84,95.0,10.0,9.0,10.0,10.0,10.0,9.0,1,4.55
17,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1.0,1.0,1.0,1.0,1.0,2,1.0,1.0,1.0,854.6185567010309,99.0,788.4818317570931,2613.336189848385,100.0,1,2,14,29,52,82,171,45,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1,4.58
18,False,False,True,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,True,False,False,True,True,True,True,True,False,False,False,False,False,True,True,False,True,False,True,False,True,True,0.948867981790592,0.999671592775041,0.0,1.0,1.0,2,2.0,1.0,1.0,854.6185567010309,200.0,788.4818317570931,2613.336189848385,287.61039657020365,1,1,1125,0,0,0,125,0,94.53926206244087,9.63639240506329,9.556398104265403,9.786708860759493,9.809598989580044,9.608915586468543,9.452245414294751,1,2.078918834221247
19,True,False,True,True,False,True,False,True,False,True,False,False,False,False,True,True,False,False,False,True,False,False,True,True,True,False,True,False,False,True,False,False,True,True,False,True,False,False,False,True,True,0.948867981790592,0.999671592775041,0.0,1.0,1.0,10,3.5,5.0,5.0,854.6185567010309,700.0,4100.0,2613.336189848385,500.0,1,3,30,24,54,84,359,5,85.0,10.0,9.0,9.0,9.0,8.0,8.0,1,0.82
20,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,True,True,False,False,True,False,False,False,1.0,1.0,0.0,1.0,1.0,1,1.0,1.0,1.0,854.6185567010309,110.0,750.0,2500.0,287.61039657020365,1,1,1125,29,55,85,360,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1.0
21,False,False,True,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,1.0,1.0,0.0,1.0,1.0,3,1.5,1.0,2.0,854.6185567010309,99.0,568.0,2029.0,287.61039657020365,1,1,1125,30,60,90,365,11,84.0,9.0,9.0,9.0,9.0,10.0,8.0,1,0.71
22,False,False,True,True,False,False,False,True,False,True,True,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,1.0,1.0,0.0,1.0,1.0,8,2.0,4.0,4.0,854.6185567010309,450.0,3000.0,2613.336189848385,287.61039657020365,1,4,1125,0,0,0,53,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0.86
